课程代码,课程名称,课程英文名称,课程性质,开课学院,任课老师,学分,起止周,上课地点,上课时间,班级
OPT776,声乐技巧与合唱Ⅰ,Vocal Techniques and Choral PerformanceⅠ,自由选修课,人文与艺术学院,胡薇薇/谢敬峰,3.0,1-17,I307琴房,"周二第10,11,12节{第1-17周}",公选课
OPT971,声乐作品赏析与舞台表演,Appreciation of Vocal Works and Stage Performance,自由选修课,人文与艺术学院,王乐,2.0,1-17,B108,"周二第10,11节{第1-17周}",公选课
OPT514,生物材料伴我行,Biomaterials Accompany Me on My Journey,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
MAT512,实变函数论,Real Analysis,自由选修课,数学学院,祝书强,3.0,1-17,C206,"周一第10,11,12节{第1-17周}",公选课
OPT486,实时大数据分析实践,Real-Time Big Data Stream Processing,自由选修课,计算机与人工智能学院,杜芳,2.0,1-17,C201,"周四第3,4节{第1-17周}",公选课
OPT486,实时大数据分析实践,Real-Time Big Data Stream Processing,自由选修课,计算机与人工智能学院,杜芳,2.0,1-17,C203,"周四第5,6节{第1-17周}",公选课
OPT959,实验方法在经济研究中的应用,Application of Experimental Methods in Economic Research,自由选修课,中国西部经济研究院,贺盼,2.0,1-17,C205,"周二第3,4节{第1-17周}",公选课
OPT507,世界农业概论,Introduction to World Agriculture,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT551,书法,Calligraphy,自由选修课,人文与艺术学院,叶俊,3.0,1-17,C303,"周四第5,6,7节{第1-17周}",公选课
OPT846,书法鉴赏与技法基础,Appreciation of Calligraphy and Fundamentals of Techniques,自由选修课,人文与艺术学院,范美俊,2.0,1-17,B107,"周四第8,9节{第1-17周}",公选课
OPT846,书法鉴赏与技法基础,Appreciation of Calligraphy and Fundamentals of Techniques,自由选修课,人文与艺术学院,范美俊,2.0,1-17,C207,"周一第8,9节{第1-17周}",公选课
OPT527,数据挖掘与可视化,Data Ming and Visualization,通识选修课,计算机与人工智能学院,王磊,1.0,1-17,C503,"周四第3,4节{第1-17周}",公选课
MAT517,数学建模与数学实验,Mathematical Modeling and Experiments,自由选修课,数学学院,戴岱,3.0,1-17,E101,"周二第10,11,12节{第1-17周}",公选课
OPT956,数学学术论文研究与写作,Research and Writing of Mathematical Academic Papers,通识选修课,数学学院,林谦/樊胜/祝书强,2.0,1-12,H101,"周四第1,2,3节{第1-12周}",公选课
OPT529,数字财税概论,Introduction to digital finance and taxation,通识选修课,财政税务学院,刘蓉/李娜,1.0,2-10,B407,"周二第10,11节{第2-10周}",公选课
OPT716,思维训练与口头表达,Critical Thinking and Oral Communication,自由选修课,人文与艺术学院,任虹/宋晋,2.0,1-12,B307,"周四第10,11,12节{第1-12周}",公选课
OPT422,素质拓展,Outward Bound,自由选修课,体育学院,蔡兴林,2.0,1-17,,"周四第1,2节{第1-17周}",公选课
OPT422,素质拓展,Outward Bound,自由选修课,体育学院,蔡兴林,2.0,1-17,,"周四第3,4节{第1-17周}",公选课
STA305,随机过程,Stochastic Processes,自由选修课,数学学院,骆川义,3.0,1-17,C204,"周三第10,11,12节{第1-17周}",公选课
OPT881,孙子兵法与领导艺术,Sun Tzu Art of War and Leadership,自由选修课,西部商学院,张劲松,2.0,1-17,C404,"周四第3,4节{第1-17周}",公选课
OPT441,孙子兵法与现代跨国公司经营,Art of War and Operation of Multinational Enterprise,自由选修课,国际商学院,蒋海曦,2.0,1-17,C205,"周三第8,9节{第1-17周}",公选课
OPT656,台球,Billiards,自由选修课,体育学院,陈丛刊,2.0,1-17,,"周四第6,7节{第1-17周}",公选课
OPT656,台球,Billiards,自由选修课,体育学院,陈丛刊,2.0,1-17,,"周四第8,9节{第1-17周}",公选课
OPT656,台球,Billiards,自由选修课,体育学院,方威,2.0,1-17,,"周四第1,2节{第1-17周}",公选课
OPT656,台球,Billiards,自由选修课,体育学院,方威,2.0,1-17,,"周四第3,4节{第1-17周}",公选课
OPT656,台球,Billiards,自由选修课,体育学院,何亮,2.0,1-17,,"周四第1,2节{第1-17周}",公选课
OPT656,台球,Billiards,自由选修课,体育学院,何亮,2.0,1-17,,"周四第3,4节{第1-17周}",公选课
OPT515,太空生存,Survival in Space,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT536,天府竹文化与人居生态环境,Bamboo Culture and Human Ecological Environment,自由选修课,人文与艺术学院,自动生成,2.0,2-17,H203,"周一第8,9节{第2-17周}",公选课
OPT909,网络文化与营销,Internet Culture and Marketing,自由选修课,西部商学院,李雷,2.0,1-12,B404,"周四第1,2,3节{第1-12周}",公选课
OPT909,网络文化与营销,Internet Culture and Marketing,自由选修课,西部商学院,李雷,2.0,1-12,C403,"周四第5,6,7节{第1-12周}",公选课
OPT552,网络信息检索方法,Network information retrieval method,自由选修课,计算机与人工智能学院,王征,2.0,1-17,C203,"周三第8,9节{第1-17周}",公选课
OPT552,网络信息检索方法,Network information retrieval method,自由选修课,计算机与人工智能学院,王征,2.0,1-17,C207,"周四第1,2节{第1-17周}",公选课
OPT552,网络信息检索方法,Network information retrieval method,自由选修课,计算机与人工智能学院,王征,2.0,1-17,C303,"周四第3,4节{第1-17周}",公选课
OPT552,网络信息检索方法,Network information retrieval method,自由选修课,计算机与人工智能学院,王征,2.0,1-17,C207,"周四第5,6节{第1-17周}",公选课
OPT552,网络信息检索方法,Network information retrieval method,自由选修课,人文与艺术学院,张欢/张瑶/邓可人,2.0,1-17,I401B,"周四第7,8节{第1-17周}",公选课
OPT963,网络与数字法学,Cyberlaw and Digital Jurisprudence,自由选修课,法学院,张鼎,2.0,1-17,C204,"周一第10,11节{第1-17周}",公选课
OPT101,网球,Tennis,自由选修课,体育学院,孙巨杉,2.0,1-17,朝晖网球场1区,"周四第3,4节{第1-17周}",公选课
OPT101,网球,Tennis,自由选修课,体育学院,孙巨杉,2.0,1-17,朝晖网球场1区,"周四第6,7节{第1-17周}",公选课
OPT101,网球,Tennis,自由选修课,体育学院,杨远波,2.0,1-17,朝晖网球场2区,"周四第3,4节{第1-17周}",公选课
OPT803,微信小程序开发实践,Wechat Mini-Program Development,自由选修课,计算机与人工智能学院,杜芳,2.0,1-17,D106,"周三第10,11节{第1-17周}",公选课
OPT803,微信小程序开发实践,Wechat Mini-Program Development,自由选修课,计算机与人工智能学院,杜芳,2.0,1-17,D106,"周三第8,9节{第1-17周}",公选课
OPT654,文化大革命简史,A Brief History of the Great Cultural Revolution,自由选修课,马克思主义学院,贾国雄,2.0,1-17,E102,"周四第10,11节{第1-17周}",公选课
OPT574,文化旅游概论,An Introduction to Cultural Tourism,自由选修课,社会发展研究院,贡布泽仁/倪诗蓓,2.0,1-17,J108,"周二第10,11节{第1-17周}",公选课
OPT574,文化旅游概论,An Introduction to Cultural Tourism,自由选修课,社会发展研究院,贡布泽仁/倪诗蓓,2.0,1-17,B406,"周四第10,11节{第1-17周}",公选课
OPT985,文物精品与文化中国,Historical Relic Treasures and Cultural China,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT886,文艺复兴时期的艺术与科学,Art and Science in the Age of Renaissance,自由选修课,特拉华数据科学学院,廖米,2.0,2-17,,"周二第10,11节{第2-17周}",公选课
OPT291,五人制足球,Indoor Football,自由选修课,体育学院,阴涛,2.0,1-17,五人制足球场南侧,"周四第3,4节{第1-17周}",公选课
OPT718,舞蹈编创与表演,Dance Choreography Methods and Performance,自由选修课,人文与艺术学院,万盛,2.0,1-17,学生活动中心礼堂,"周四第1,2节{第1-17周}",公选课
OPT718,舞蹈编创与表演,Dance Choreography Methods and Performance,自由选修课,人文与艺术学院,万盛,2.0,1-17,学生活动中心礼堂,"周四第5,6节{第1-17周}",公选课
OPT516,物理与人类生活,Physics and Human Life,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT777,西方室内乐演奏Ⅱ,Western Chamber Music Performance Ⅱ,自由选修课,人文与艺术学院,李星霓,3.0,1-17,其孜楼2楼会议厅,"周四第10,11,12节{第1-17周}",公选课
OPT973,西方哲学精神探源,An Exploration to the Original Spirit of Western Philosophy,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
ECO320,习近平经济思想,Xi Jinping Thought on Economy,自由选修课,经济学院,王军/葛浩阳/王卫卿,2.0,1-17,B204,"周三第8,9节{第1-17周}",公选课
ECO320,习近平经济思想,Xi Jinping Thought on Economy,自由选修课,经济学院,徐承红,2.0,1-17,B306,"周一第10,11节{第1-17周}",公选课
OPT637,戏剧表演基础训练,Basic training in drama performance,自由选修课,人文与艺术学院,张怡然,3.0,1-17,音乐厅一楼排练室,"周二第10,11,12节{第1-17周}",公选课
OPT637,戏剧表演基础训练,Basic training in drama performance,自由选修课,人文与艺术学院,张怡然,3.0,1-17,音乐厅一楼排练室,"周四第10,11,12节{第1-17周}",公选课
OPT637,戏剧表演基础训练,Basic training in drama performance,自由选修课,人文与艺术学院,张怡然,3.0,1-17,音乐厅一楼排练室,"周四第5,6,7节{第1-17周}",公选课
OPT580,戏剧与电影艺术(英),Drama and Film（English）,自由选修课,特拉华数据科学学院,廖米,2.0,2-17,,"周二第7,8节{第2-17周}",公选课
OPT914,现代商务幻灯片制作,Business Slides Making,自由选修课,会计学院,方堃/瞿旭,3.0,1-17,C103,"周三第5,6,7节{第1-17周}",公选课
OPT914,现代商务幻灯片制作,Business Slides Making,自由选修课,会计学院,方堃/瞿旭,3.0,1-17,H101,"周四第5,6,7节{第1-17周}",公选课
OPT781,现代心理学,Morden psychology,自由选修课,人文与艺术学院,钟慧,3.0,1-17,B106,"周四第10,11,12节{第1-17周}",公选课
OPT465,相声表演艺术,Cross-talk Performance Art,自由选修课,人文与艺术学院,田海龙,2.0,1-17,B305,"周四第3,4节{第1-17周}",公选课
OPT465,相声表演艺术,Cross-talk Performance Art,自由选修课,人文与艺术学院,田海龙,2.0,1-17,B305,"周四第5,6节{第1-17周}",公选课
OPT315,乡村振兴经典案例分析,Rural Revitalization Classic Caces,自由选修课,中国西部经济研究院,李雪峰,2.0,1-17,C406,"周四第5,6节{第1-17周}",公选课
OPT315,乡村振兴经典案例分析,Rural Revitalization Classic Caces,自由选修课,中国西部经济研究院,李雪峰,2.0,1-17,C405,"周四第7,8节{第1-17周}",公选课
OPT355,消费者决策的经济学分析,Economic analysis of consumer decision,自由选修课,中国西部经济研究院,叶胥/江舟,2.0,1-17,C405,"周四第5,6节{第1-17周}",公选课
OPT173,新媒体创作与应用,New Media Creation and Application,自由选修课,人文与艺术学院,彭泺,3.0,1-17,J101,"周一第10,11,12节{第1-17周}",公选课
OPT642,心理复原力提升工作坊,Psychological resilience Enhancement Workshop,自由选修课,人文与艺术学院,赵萍萍,2.0,1-17,B106,"周三第10,11节{第1-17周}",公选课
OPT964,刑事司法实证研究工作坊,Workshop on Empirical Research in Criminal Justice,通识选修课,社会发展研究院,辛晏毓,2.0,1-17,B101,"周三第10,11节{第1-17周}",公选课
OPT302,刑事庭审技能训练,Criminal Trial Skills Training,自由选修课,法学院,兰荣杰,3.0,1-17,C101,"周一第10,11,12节{第1-17周}",公选课
OPT646,学术写作,Academic writing,自由选修课,金融学院,陈苡文,2.0,1-12,C503,"周四第5,6,7节{第1-12周}",公选课
OPT390,颜值经济学：理论与实践,The Economics of Beauty: Theory and Practice,自由选修课,社会发展研究院,谭远发,2.0,1-17,B104,"周四第3,4节{第1-17周}",公选课
OPT655,养生八段锦,Eight section brocade of health preservation,自由选修课,体育学院,郭泽儒,2.0,1-17,体育馆一楼瑜伽练习房,"周四第1,2节{第1-17周}",公选课
OPT791,遥感卫星数据在经管领域的应用,Application of remote sensing satellite data in the field of economy and management,自由选修课,公共管理学院,高明,3.0,1-17,C402,"周二第10,11,12节{第1-17周}",公选课
OPT491,艺术的启示,Inspiration Of Art,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT498,意在象中—中国古典诗词鉴赏,Meanings Contained in Images-Appreciation of Chinese Classical Poetry,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT970,英语语法,English Grammar,通识选修课,外国语学院,张玮,2.0,1-17,C205,"周三第10,11节{第1-17周}",公选课
ART009,影视艺术,Movie & TV Art,自由选修课,人文与艺术学院,彭立,3.0,1-17,J103,"周一第10,11,12节{第1-17周}",公选课
OPT958,影视作品管理学赏析,Managerial Critiques on  Films and TV Series,自由选修课,工商管理学院,冯俭,2.0,1-17,C203,"周一第10,11节{第1-17周}",公选课
OPT242,优化思维实训,Optimizing Thinking Training,自由选修课,法学院,高晋康,2.0,1-12,C202,"周四第5,6,7节{第1-12周}",公选课
OPT061,游泳,Swimming,自由选修课,体育学院,陈珂欣,2.0,1-17,,"周四第6,7节{第1-17周}",公选课
OPT061,游泳,Swimming,自由选修课,体育学院,陈珂欣,2.0,1-17,,"周四第8,9节{第1-17周}",公选课
OPT977,战略性思维：竞争、合作与全局意识,"Strategic Thinking: Competition, Cooperation and Global Awareness",通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT845,正念生活与身心锻炼实践,Mindful living and body-mind Training,自由选修课,人文与艺术学院,徐彩慧,2.0,1-17,B205,"周一第10,11节{第1-17周}",公选课
OPT256,职业足球中的经济学,Economics in  Professional Football,自由选修课,中国西部经济研究院,王无为/付磊,3.0,1-17,C304,"周二第10,11,12节{第1-17周}",公选课
OPT517,至美无相—现代数学天文物理漫谈,"Beauty without Phase - Modern Mathematics, Astronomy and Physics",通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT770,智慧园艺,Smart Horticulture,自由选修课,人文与艺术学院,自动生成,2.0,2-17,E301,"周三第10,11节{第2-17周}",公选课
OPT770,智慧园艺,Smart Horticulture,自由选修课,人文与艺术学院,自动生成,2.0,2-17,E304,"周一第10,11节{第2-17周}",公选课
OPT518,智能医学发展前沿,The Forefront of Intelligent Medicine Development,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT508,中东文明与国别史,Study on the Civilization of Middle East and National Histories,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT987,中国茶道,Chinese Tea Ceremony,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT411,中国传统文化,Chinese Traditional Culture,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT197,中国概况,China Panorama,通识核心课,国际教育学院,黄志华/张玮/李雨浓,3.0,1-17,,"周五第6,7,8节{第1-17周}",公选课
OPT197,中国概况,China Panorama,通识核心课,国际教育学院,王翔宇/黄志华/李雨浓,3.0,1-17,,"周四第6,7,8节{第1-17周}",公选课
OPT492,中国古代建筑艺术,Ancient Chinese Architectural Art,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT772,中国古典舞身韵与形体训练,SHENYUN and Body Training of Chinese Classical Dance,自由选修课,人文与艺术学院,李龙,3.0,1-17,学生活动中心礼堂,"周一第10,11,12节{第1-17周}",公选课
OPT772,中国古典舞身韵与形体训练,SHENYUN and Body Training of Chinese Classical Dance,自由选修课,人文与艺术学院,南晓彤,3.0,1-17,学生活动中心礼堂,"周三第7,8,9节{第1-17周}",公选课
OPT452,中国国家安全概论,Introduction to China’s National Security,自由选修课,马克思主义学院,韩源,2.0,1-17,C302,"周四第10,11节{第1-17周}",公选课
OPT280,中国国家地理,Chinese National Geography,自由选修课,经济学院,苗壮/钟绍卓/刘思岑/李啸谷,3.0,1-17,C202,"周一第10,11,12节{第1-17周}",公选课
OPT255,中国画基础-白描,Chinese Painting  Foundation—— Line Drawing,自由选修课,人文与艺术学院,贺英,3.0,1-17,B201,"周三第7,8,9节{第1-17周}",公选课
OPT247,中国金融学发展前沿,The Frontier of Finance Research in China,自由选修课,金融学院,洪正/肖锐,2.0,1-12,C201,"周四第7,8,9节{第1-12周}",公选课
OPT116,中国近代知识分子人物述评,A Review of Modern Chinese Intellectuals,自由选修课,管理科学与工程学院,袁程炜,2.0,1-17,B307,"周二第10,11节{第1-17周}",公选课
OPT393,中国历史政治地理,Chinese Historical and Political Geography,自由选修课,中国西部经济研究院,夏添,3.0,1-17,E101,"周四第10,11,12节{第1-17周}",公选课
OPT802,中国粮食经济,China Grain Economy,自由选修课,中国西部经济研究院,汪希成,2.0,1-17,C403,"周四第3,4节{第1-17周}",公选课
OPT466,中国民歌赏析与舞台表演,Appreciation and Stage Performance of Chinese Folk Songs,自由选修课,人文与艺术学院,肖白帆,3.0,1-17,B201,"周二第10,11,12节{第1-17周}",公选课
OPT466,中国民歌赏析与舞台表演,Appreciation and Stage Performance of Chinese Folk Songs,自由选修课,人文与艺术学院,肖白帆,3.0,1-17,B201,"周四第10,11,12节{第1-17周}",公选课
OPT461,中国早期文明,Early Chinese Civilization,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT974,中国哲学经典著作导读,Introduction to Classics of Chinese Philosophy,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT709,中国政府转型与经济发展,"Government Transformation 

and Economic Development Of China",自由选修课,公共管理学院,金浩,3.0,1-17,C208,"周二第10,11,12节{第1-17周}",公选课
OPT339,中华人民共和国史,History of PRC,自由选修课,马克思主义学院,贾国雄/陆雨思/袁上/王翔宇,3.0,1-17,E104,"周四第1,2,3节{第1-17周}",公选课
ECO300,中级宏观经济学,Intermediate Macroeconomics,自由选修课,财政税务学院,王君斌,3.0,1-17,B103,"周二第10,11,12节{第1-17周}",公选课
OPT565,中日关系,Sino Japanese Relations,自由选修课,法学院,李毅,2.0,1-17,C204,"周四第10,11节{第1-17周}",公选课
OPT555,中外建筑艺术赏析,Appreciation of Chinese and foreign architectural art,自由选修课,人文与艺术学院,廖奇琦,2.0,1-17,B307,"周四第5,6节{第1-17周}",公选课
OPT975,庄子哲学导读,Introduction of Zhuangzi philosophy,通识选修课,人文与艺术学院,在线课程教师,0.5,2-17,,,公选课
OPT601,资产配置与风险管理,Asset Allocation and Risk Management,自由选修课,金融学院,王鹏,1.0,1-9,C201,"周一第10,11节{第1-9周}",公选课
OPT181,综合汉语Ⅱ,Comprehensive Chinese Ⅱ,通识核心课,国际教育学院,白巧燕,3.0,1-17,B202,"周四第1,2,3节{第1-17周}",公选课
OPT181,综合汉语Ⅱ,Comprehensive Chinese Ⅱ,通识核心课,国际教育学院,胡佩迦,3.0,1-17,C102,"周四第6,7,8节{第1-17周}",公选课
OPT131,走进马列经典,Learning the Marxist and Leninist Classics,自由选修课,马克思主义学院,杨楹/唐晓勇/吴玉平/邓育苗,2.0,1-17,B405,"周二第10,11节{第1-17周}",公选课
PED214,保健班2,,体育项目,体育学院,彭浩,1.0,1-17,体育馆二楼东侧平台,周二第5节{第1-17周},体育课
PED414,保健班4,Air Volleyball IV,体育项目,体育学院,彭浩,1.0,1-17,体育馆二楼东侧平台,周二第5节{第1-17周},体育课
PED213,定向越野2,,体育项目,体育学院,陈珂欣,1.0,1-17,晨曦运动场南侧,"周三第1,2节{第1-17周}",体育课
PED213,定向越野2,,体育项目,体育学院,刘子豪,1.0,1-17,晨曦运动场北侧,"周一第3,4节{第1-17周}",体育课
PED213,定向越野2,,体育项目,体育学院,刘子豪,1.0,1-17,晨曦运动场北侧,"周一第6,7节{第1-17周}",体育课
PED213,定向越野2,,体育项目,体育学院,刘子豪,1.0,1-17,晨曦运动场北侧,"周一第8,9节{第1-17周}",体育课
PED413,定向越野4,,体育项目,体育学院,陈珂欣,1.0,1-17,晨曦运动场南侧,"周三第3,4节{第1-17周}",体育课
PED413,定向越野4,,体育项目,体育学院,陈珂欣,1.0,1-17,晨曦运动场南侧,"周三第8,9节{第1-17周}",体育课
PED413,定向越野4,,体育项目,体育学院,陈珂欣,1.0,1-17,晨曦运动场南侧,"周五第1,2节{第1-17周}",体育课
PED413,定向越野4,,体育项目,体育学院,陈珂欣,1.0,1-17,晨曦运动场南侧,"周五第3,4节{第1-17周}",体育课
PED413,定向越野4,,体育项目,体育学院,陈珂欣,1.0,1-17,晨曦运动场南侧,"周五第6,7节{第1-17周}",体育课
PED413,定向越野4,,体育项目,体育学院,陈珂欣,1.0,1-17,晨曦运动场南侧,"周五第8,9节{第1-17周}",体育课
PED413,定向越野4,,体育项目,体育学院,刘子豪,1.0,1-17,晨曦运动场北侧,"周五第1,2节{第1-17周}",体育课
PED413,定向越野4,,体育项目,体育学院,刘子豪,1.0,1-17,晨曦运动场北侧,"周五第3,4节{第1-17周}",体育课
PED413,定向越野4,,体育项目,体育学院,刘子豪,1.0,1-17,晨曦运动场北侧,"周五第6,7节{第1-17周}",体育课
PED413,定向越野4,,体育项目,体育学院,刘子豪,1.0,1-17,晨曦运动场北侧,"周五第8,9节{第1-17周}",体育课
PED208,健美操2,,体育项目,体育学院,杜文,1.0,1-17,体育馆二楼形体室1区,"周二第1,2节{第1-17周}",体育课
PED208,健美操2,,体育项目,体育学院,杜文,1.0,1-17,体育馆二楼形体室1区,"周二第3,4节{第1-17周}",体育课
PED208,健美操2,,体育项目,体育学院,杜文,1.0,1-17,体育馆二楼形体室1区,"周一第3,4节{第1-17周}",体育课
PED208,健美操2,,体育项目,体育学院,杜文,1.0,1-17,体育馆二楼形体室1区,"周一第6,7节{第1-17周}",体育课
PED208,健美操2,,体育项目,体育学院,杜文,1.0,1-17,体育馆二楼形体室1区,"周一第8,9节{第1-17周}",体育课
PED408,健美操4,,体育项目,体育学院,刁永辉,1.0,1-17,体育馆二楼形体室1区,"周三第6,7节{第1-17周}",体育课
PED408,健美操4,,体育项目,体育学院,刁永辉,1.0,1-17,体育馆二楼形体室1区,"周三第8,9节{第1-17周}",体育课
PED408,健美操4,,体育项目,体育学院,刁永辉,1.0,1-17,体育馆二楼形体室1区,"周五第6,7节{第1-17周}",体育课
PED408,健美操4,,体育项目,体育学院,张锐,1.0,1-17,体育馆健身房,"周三第6,7节{第1-17周}",体育课
PED218,健身健美2,,体育项目,体育学院,徐文杰,1.0,1-17,体育馆健身房,"周一第3,4节{第1-17周}",体育课
PED218,健身健美2,,体育项目,体育学院,徐文杰/何龙韬,1.0,1-17,体育馆健身房,"周一第6,7节{第1-17周}",体育课
PED218,健身健美2,,体育项目,体育学院,徐文杰/何龙韬,1.0,1-17,体育馆健身房,"周一第8,9节{第1-17周}",体育课
PED218,健身健美2,,体育项目,体育学院,张锐,1.0,1-17,体育馆健身房,"周二第1,2节{第1-17周}",体育课
PED218,健身健美2,,体育项目,体育学院,张锐,1.0,1-17,体育馆健身房,"周二第3,4节{第1-17周}",体育课
PED218,健身健美2,,体育项目,体育学院,张锐,1.0,1-17,体育馆健身房,"周三第1,2节{第1-17周}",体育课
PED418,健身健美4,,体育项目,体育学院,刁永辉,1.0,1-17,体育馆健身房,"周三第3,4节{第1-17周}",体育课
PED418,健身健美4,,体育项目,体育学院,刁永辉,1.0,1-17,体育馆健身房,"周五第1,2节{第1-17周}",体育课
PED418,健身健美4,,体育项目,体育学院,刁永辉,1.0,1-17,体育馆健身房,"周五第3,4节{第1-17周}",体育课
PED418,健身健美4,,体育项目,体育学院,徐文杰,1.0,1-17,体育馆健身房,"周五第1,2节{第1-17周}",体育课
PED418,健身健美4,,体育项目,体育学院,徐文杰,1.0,1-17,体育馆健身房,"周五第3,4节{第1-17周}",体育课
PED418,健身健美4,,体育项目,体育学院,徐文杰,1.0,1-17,体育馆健身房,"周五第6,7节{第1-17周}",体育课
PED418,健身健美4,,体育项目,体育学院,徐文杰,1.0,1-17,体育馆健身房,"周五第8,9节{第1-17周}",体育课
PED418,健身健美4,,体育项目,体育学院,张锐,1.0,1-17,体育馆健身房,"周三第3,4节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,郭广,1.0,1-17,晨曦篮球场,"周二第1,2节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,郭广,1.0,1-17,晨曦篮球场,"周二第3,4节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,郭广,1.0,1-17,晨曦篮球场,"周三第1,2节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,黄茂洁,1.0,1-17,晨曦篮球场,"周三第1,2节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,黄茂洁,1.0,1-17,晨曦篮球场,"周一第6,7节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,黄茂洁,1.0,1-17,晨曦篮球场,"周一第8,9节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,李春晖,1.0,1-17,晨曦篮球场,"周二第1,2节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,李春晖,1.0,1-17,晨曦篮球场,"周二第3,4节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,李春晖,1.0,1-17,晨曦篮球场,"周一第3,4节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,李春晖,1.0,1-17,晨曦篮球场,"周一第6,7节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,李春晖,1.0,1-17,晨曦篮球场,"周一第8,9节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,彭宁,1.0,1-17,晨曦篮球场,"周二第1,2节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,彭宁,1.0,1-17,晨曦篮球场,"周二第3,4节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,彭宁,1.0,1-17,晨曦篮球场,"周三第1,2节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,彭宁,1.0,1-17,晨曦篮球场,"周一第3,4节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,彭宁,1.0,1-17,晨曦篮球场,"周一第6,7节{第1-17周}",体育课
PED201,篮球2,,体育项目,体育学院,彭宁,1.0,1-17,晨曦篮球场,"周一第8,9节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,郭广,1.0,1-17,晨曦篮球场,"周三第3,4节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,郭广,1.0,1-17,晨曦篮球场,"周五第1,2节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,郭广,1.0,1-17,晨曦篮球场,"周五第3,4节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,黄茂洁,1.0,1-17,晨曦篮球场,"周三第3,4节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,黄茂洁,1.0,1-17,晨曦篮球场,"周五第3,4节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,黄茂洁,1.0,1-17,晨曦篮球场,"周五第6,7节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,黄茂洁,1.0,1-17,晨曦篮球场,"周五第8,9节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,彭宁,1.0,1-17,晨曦篮球场,"周三第3,4节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,王戈,1.0,1-17,晨曦篮球场,"周三第6,7节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,王戈,1.0,1-17,晨曦篮球场,"周三第8,9节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,王戈,1.0,1-17,晨曦篮球场,"周五第1,2节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,王戈,1.0,1-17,晨曦篮球场,"周五第3,4节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,王戈,1.0,1-17,晨曦篮球场,"周五第6,7节{第1-17周}",体育课
PED401,篮球4,,体育项目,体育学院,王戈,1.0,1-17,晨曦篮球场,"周五第8,9节{第1-17周}",体育课
PED203,排球2,,体育项目,体育学院,方威,1.0,1-17,晨曦排球场,"周二第1,2节{第1-17周}",体育课
PED203,排球2,,体育项目,体育学院,方威,1.0,1-17,晨曦排球场,"周二第3,4节{第1-17周}",体育课
